251,T1,unit,15,18,cup,NONE,NONE
251,T2,unit,26,34,teaspoon,NONE,NONE
251,T3,quantity,0,1,1,NONE,NONE
251,T4,quantity,11,14,1/2,NONE,NONE
251,T5,quantity,24,25,1,NONE,NONE
251,T6,quantity,82,84,30,NONE,NONE
251,T7,unit,2,5,can,http://purl.obolibrary.org/obo/FOODON_00002387,an
251,T8,food_product_with_unit,6,10,corn,http://purl.obolibrary.org/obo/FOODON_03317387,corn (whole)
251,T9,food_product_with_unit,19,23,milk,http://purl.obolibrary.org/obo/UBERON_0001913,milk
251,T10,unit,85,86,g,NONE,NONE
251,T11,physical_quality,58,64,Smoked,NONE,NONE
251,T12,food_product_with_unit,50,56,cheese,NONE,NONE
251,T13,process,66,79,finely grated,NONE,NONE
251,T14,food_product_without_unit_uncountable,88,92,salt,NONE,NONE
251,T15,food_product_without_unit_uncountable,93,99,pepper,http://purl.obolibrary.org/obo/FOODON_00003520,pepper (whole)
251,T16,physical_quality,35,41,smoked,NONE,NONE
251,T17,food_product_with_unit,42,49,paprika,http://purl.obolibrary.org/obo/FOODON_03301105,paprika
220,T1,unit,2,8,ounces,NONE,NONE
220,T2,unit,66,69,cup,NONE,NONE
220,T3,unit,88,91,cup,NONE,NONE
220,T4,quantity,0,1,2,NONE,NONE
220,T5,quantity,62,65,1/2,NONE,NONE
220,T6,quantity,84,87,1/2,NONE,NONE
220,T7,food_product_with_unit,78,83,water,NONE,NONE
220,T8,physical_quality,70,77,boiling,NONE,NONE
220,T9,taste,9,18,semisweet,NONE,NONE
220,T10,food_product_with_unit,19,28,chocolate,http://purl.obolibrary.org/obo/FOODON_03307240,chocolate
220,T11,taste,33,44,bittersweet,NONE,NONE
220,T12,food_product_with_unit,19,28,chocolate,http://purl.obolibrary.org/obo/FOODON_03307240,chocolate
220,T13,process,46,60,finely chopped,http://purl.obolibrary.org/obo/FOODON_03305813,apple (finely chopped)
220,T14,purpose,118,129,for serving,NONE,NONE
220,T15,food_product_with_unit,103,116,whipped cream,http://purl.obolibrary.org/obo/FOODON_03302897,whipped cream
220,T17,physical_quality,92,97,whole,http://purl.obolibrary.org/obo/FOODON_00002387,an
220,T18,food_product_with_unit,98,102,milk,http://purl.obolibrary.org/obo/UBERON_0001913,milk
466,T1,unit,2,5,lbs,NONE,NONE
466,T2,unit,20,24,cups,NONE,NONE
466,T3,unit,205,209,cups,NONE,NONE
466,T4,unit,236,239,cup,NONE,NONE
466,T5,quantity,0,1,3,NONE,NONE
466,T6,quantity,18,19,3,NONE,NONE
466,T7,quantity,178,183,8 -10,NONE,NONE
466,T9,quantity,199,204,1 1⁄2,NONE,NONE
466,T10,quantity,232,235,1⁄3,NONE,NONE
466,T8,food_product_without_unit_countable,184,198,hamburger buns,http://purl.obolibrary.org/obo/FOODON_03302319,hamburger bun
466,T11,process,210,216,grated,NONE,NONE
466,T12,food_product_with_unit,217,231,cheddar cheese,http://purl.obolibrary.org/obo/FOODON_03302458,cheddar cheese
466,T13,process,240,246,grated,NONE,NONE
466,T14,food_product_with_unit,247,262,parmesan cheese,http://purl.obolibrary.org/obo/FOODON_00003247,parmesan cheese
466,T15,food_product_with_unit,13,17,beef,NONE,NONE
466,T16,process,6,12,ground,NONE,NONE
466,T17,food_product_with_unit,34,45,pasta sauce,NONE,NONE
466,T18,example,76,114,Kittencal's Italian Tomato Pasta Sauce,NONE,NONE
466,T19,trade_name,76,87,Kittencal's,NONE,NONE
466,T20,example,119,137,Parmesan Meatballs,NONE,NONE
466,T21,food_product_without_unit_uncountable,159,164,flour,NONE,NONE
466,T22,purpose,166,177,for dipping,NONE,NONE
389,T1,unit,20,31,tablespoons,NONE,NONE
389,T2,unit,138,148,tablespoon,NONE,NONE
389,T3,quantity,15,19,2 -3,NONE,NONE
389,T5,quantity,93,94,1,NONE,NONE
389,T6,quantity,134,137,1/2,NONE,NONE
389,T7,food_product_without_unit_countable,95,117,sprig lavender flowers,NONE,NONE
389,T8,physical_quality,149,154,dried,NONE,NONE
389,T9,food_product_with_unit,155,171,lavender flowers,NONE,NONE
389,T10,food_product_without_unit_uncountable,185,198,vanilla sugar,http://purl.obolibrary.org/obo/FOODON_03307273,vanilla sugar
389,T11,food_product_without_unit_uncountable,199,204,cream,http://purl.obolibrary.org/obo/FOODON_03305258,full cream
